Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Asogapur,Uttar Pradesh,Kheri,CGWB,2022-05-27,3.38,27.89166667,80.95000000,2
Chamlapur,Uttar Pradesh,Kheri,CGWB,2022-05-27,2.38,27.91333333,80.88333333,2
Chandan chowki,Uttar Pradesh,Kheri,CGWB,2022-05-27,4.07,28.52777778,80.76250000,2
Chauapur,Uttar Pradesh,Kheri,CGWB,2022-05-27,4.47,27.98333333,80.90000000,2
Dudhwa f.r.h.,Uttar Pradesh,Kheri,CGWB,2022-05-27,3.96,28.48888889,80.64944444,2
Hasanpur,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,5.98,25.92500000,82.60000000,2
Itaili (muftiganj),Uttar Pradesh,Jaunpur,CGWB,2022-05-27,11.04,25.71000000,82.82222222,2
Jhandi Raj,Uttar Pradesh,Kheri,CGWB,2022-05-27,3.52,28.18305556,80.84583333,2
Kasia,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,14.61,25.59583333,81.47500000,2
Khajanchi purwa,Uttar Pradesh,Kheri,CGWB,2022-05-27,4.54,27.95972222,80.68888889,2
Kheta sarai1,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,4.68,25.96166667,82.68666667,2
Koirauna,Uttar Pradesh,Sant Ravidas Nagar,CGWB,2022-05-27,11.48,25.29722222,82.31250000,2
Kushambhi,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,11.67,25.34722222,81.38055556,2
Lehdari,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,14.47,25.75138889,81.37916667,2
Mandari,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,20.2,25.43666667,81.72166667,2
Marihun,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,4.78,25.58888889,82.50000000,2
Pali1,Uttar Pradesh,Sant Ravidas Nagar,CGWB,2022-05-27,7.53,25.37916667,82.42500000,2
Pasgawan,Uttar Pradesh,Kheri,CGWB,2022-05-27,3.58,27.81027778,80.16916667,2
Rampur1,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,3.36,25.98166667,82.57500000,2
Sarai akil,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,17.22,25.37500000,81.51333333,2
Shahganj1,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,6.52,26.07916667,82.65833333,2
Suriyawan,Uttar Pradesh,Bhadohi,CGWB,2022-05-27,6.94,25.45833333,82.42000000,2
Tarti,Uttar Pradesh,Jaunpur,CGWB,2022-05-27,6.64,25.54583333,82.76250000,2
Usargaura,Uttar Pradesh,Kaushambi,CGWB,2022-05-27,6.61,25.53333333,81.37500000,2
