Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Abdullahpur mandi-II-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-01-30,7.8,28.61111111,77.79166667,2
Andla,Uttar Pradesh,Aligarh,CGWB,2018-01-30,9.75,27.91833333,77.91888889,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,3.42,25.77222222,80.90277778,2
Atarra,Uttar Pradesh,Banda,CGWB,2018-01-30,4.54,25.27694444,80.55666667,2
Azad Nagar-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-01-30,9.92,28.64166667,77.82333333,2
Badauli-Hapur-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-01-30,15.87,28.71833333,77.80166667,2
Badehan,Uttar Pradesh,Banda,CGWB,2018-01-30,10.8,25.13500000,80.39333333,2
Bagh colony,Uttar Pradesh,Saharanpur,CGWB,2018-01-30,6.56,30.34666667,77.60444444,2
Baheri,Uttar Pradesh,Bareilly,CGWB,2018-01-30,2.3,28.77916667,79.50000000,2
Bahua,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,14.13,25.84166667,80.62500000,2
Baitalpur,Uttar Pradesh,Deoria,CGWB,2018-01-30,3.83,26.55000000,83.73333333,2
Baldeo,Uttar Pradesh,Mainpuri,CGWB,2018-01-30,5.91,27.41944444,77.82222222,2
Banda,Uttar Pradesh,Banda,CGWB,2018-01-30,8.43,25.48333333,80.32083333,2
Bareilly1,Uttar Pradesh,Bareilly,CGWB,2018-01-30,6.5,28.36666667,79.40000000,2
Bargad chauraha,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,3.58,28.61666667,79.92500000,2
Barsana,Uttar Pradesh,Mathura,CGWB,2018-01-30,9.89,27.65555556,77.37777778,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,30.65,25.95000000,80.43333333,2
Bela,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,4.22,25.95833333,81.03611111,2
Bela tal,Uttar Pradesh,Mahoba,CGWB,2018-01-30,6.62,25.27027778,79.57777778,2
Bewar,Uttar Pradesh,Hamirpur,CGWB,2018-01-30,15.68,25.76111111,79.93000000,2
Bhamora,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,3.06,28.71416667,79.88666667,2
Bhaunri,Uttar Pradesh,Chitrakoot,CGWB,2018-01-30,9.95,25.22500000,81.04027778,2
Bhojpur-Pz,Uttar Pradesh,Firozabad,CGWB,2018-01-30,9.82,28.80138889,77.62333333,2
Bhuta,Uttar Pradesh,Bareilly,CGWB,2018-01-30,5.7,28.33611111,79.59583333,2
Bilsanda1,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,4.7,28.24166667,79.94166667,2
Bindki1,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,3.45,26.03611111,80.58000000,2
Bisanda,Uttar Pradesh,Banda,CGWB,2018-01-30,4.03,25.39305556,80.62222222,2
Chakrajafar,Uttar Pradesh,Chitrakoot,CGWB,2018-01-30,21.15,25.26000000,80.92166667,2
Chandrapal Kheri,Uttar Pradesh,Saharanpur,CGWB,2018-01-30,17.27,29.92500000,77.31666667,2
Charkhari,Uttar Pradesh,Mahoba,CGWB,2018-01-30,3.8,25.40000000,79.75000000,2
Chartawal,Uttar Pradesh,Muzaffarnagar,CGWB,2018-01-30,8.58,29.53750000,77.59416667,2
Chartawal Pz,Uttar Pradesh,Muzaffarnagar,CGWB,2018-01-30,8.76,29.55138889,77.58472222,2
Chatesar pz GWD,Uttar Pradesh,Mahoba,CGWB,2018-01-30,12.25,25.41611111,79.49361111,2
Chauki Pz,Uttar Pradesh,G.B. Nagar,CGWB,2018-01-30,4.38,28.28555556,77.63527778,2
Chhata New,Uttar Pradesh,Mathura,CGWB,2018-01-30,2.21,27.70333333,77.50000000,2
Chittauni,Uttar Pradesh,Kushinagar,CGWB,2018-01-30,1.44,27.13333333,83.95416667,2
Chota Mawana Pz,Uttar Pradesh,Meerut,CGWB,2018-01-30,11.08,29.09166667,77.86111111,2
Dabthara Shyam Pz GWD,Uttar Pradesh,Budaun,CGWB,2018-01-30,6.05,28.20000000,78.48333333,2
Deoria2,Uttar Pradesh,Deoria,CGWB,2018-01-30,4.42,26.52916667,83.77222222,2
Desai deoria,Uttar Pradesh,Deoria,CGWB,2018-01-30,2.53,26.66666667,83.78333333,2
Dhagwan,Uttar Pradesh,Hamirpur,CGWB,2018-01-30,5.31,25.83944444,79.64083333,2
Dhanghata,Uttar Pradesh,Sant Kabir Nagar,CGWB,2018-01-30,4.56,26.55416667,83.01944444,2
Dhaula Kuan,Uttar Pradesh,Saharanpur,CGWB,2018-01-30,3.97,30.13333333,77.71666667,2
Dubauli,Uttar Pradesh,Gorakhpur,CGWB,2018-01-30,4.28,26.46000000,83.42000000,2
Faradia,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,4.55,28.72500000,79.71666667,2
Gajraula1,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,3.32,28.52500000,79.88666667,2
Garhmukteshwar-Pz,Uttar Pradesh,Firozabad,CGWB,2018-01-30,13.63,28.78583333,78.07916667,2
Gauri bazar,Uttar Pradesh,Deoria,CGWB,2018-01-30,3.5,26.59083333,83.66250000,2
Gazipur New,Uttar Pradesh,Fatehpur,CGWB,2018-01-30,13.5,25.80222222,80.75416667,2
Geruababu,Uttar Pradesh,Gorakhpur,CGWB,2018-01-30,4.71,26.56000000,83.34000000,2
Ghughali,Uttar Pradesh,Maharajganj,CGWB,2018-01-30,4.21,27.05000000,83.73333333,2
Ghuna,Uttar Pradesh,Saharanpur,CGWB,2018-01-30,2.58,30.05833333,77.59166667,2
Girwan,Uttar Pradesh,Banda,CGWB,2018-01-30,2.42,25.31472222,80.39166667,2
Gonda,Uttar Pradesh,Aligarh,CGWB,2018-01-30,1.68,27.81944444,77.88750000,2
Hapur-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-01-30,18.07,28.72333333,77.80583333,2
Harduaganj,Uttar Pradesh,Aligarh,CGWB,2018-01-30,4.55,27.94638889,78.15750000,2
Hastinapur 1,Uttar Pradesh,Meerut,CGWB,2018-01-30,10.72,29.12500000,78.00000000,2
Hasyan,Uttar Pradesh,Hathras,CGWB,2018-01-30,5.52,27.61527778,78.27222222,2
Iglas,Uttar Pradesh,Hathras,CGWB,2018-01-30,9.54,27.71666667,77.93333333,2
Jagdishpur1,Uttar Pradesh,Gorakhpur,CGWB,2018-01-30,3.38,26.75694444,83.57638889,2
Jahanabad1,Uttar Pradesh,Pilibhit,CGWB,2018-01-30,4.91,28.63333333,79.70166667,2
