Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2018-01-31,14.96,27.08472222,80.72777778,2
Achhalda,Uttar Pradesh,Auraiya,CGWB,2018-01-31,4.84,26.71166667,79.41194444,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2018-01-31,8.07,27.17722222,77.74555556,2
Adalhat,Uttar Pradesh,Mirzapur,CGWB,2018-01-31,4.52,25.13138889,83.03500000,2
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2018-01-31,9.25,26.17638889,82.90416667,2
Ahraura,Uttar Pradesh,Mirzapur,CGWB,2018-01-31,2.35,25.02083333,83.04027778,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2018-01-31,4.71,26.49472222,81.34861111,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2018-01-31,3.07,27.33194444,80.30888889,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2018-01-31,5.46,25.45555556,83.73055556,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2018-01-31,4.6,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-01-31,7.27,26.43611111,82.54361111,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2018-01-31,6.08,26.66472222,81.77916667,2
Amjhara ghati,Uttar Pradesh,Lalitpur,CGWB,2018-01-31,1.44,24.36666667,78.40000000,2
Anai,Uttar Pradesh,Varanasi,CGWB,2018-01-31,1.53,25.45833333,82.73611111,2
Anpara,Uttar Pradesh,Sonbhadra,CGWB,2018-01-31,14.5,24.20638889,82.77000000,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2018-01-31,19.5,26.83472222,80.91250000,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2018-01-31,3.89,27.89166667,80.95000000,2
Ata,Uttar Pradesh,Jalaun,CGWB,2018-01-31,12.67,26.04166667,79.59166667,2
Ateha,Uttar Pradesh,Pratapgarh,CGWB,2018-01-31,6.96,26.09694444,81.63972222,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2018-01-31,6.03,25.57083333,81.74166667,2
Auras,Uttar Pradesh,Unnao,CGWB,2018-01-31,5.7,26.90416667,80.50416667,2
Azamgarh,Uttar Pradesh,Azamgarh,CGWB,2018-01-31,9.31,26.04166667,83.16666667,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2018-01-31,0.33,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2018-01-31,3.29,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2018-01-31,9.81,23.95388889,83.07916667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2018-01-31,5.3,25.82500000,84.21388889,2
Babina-New,Uttar Pradesh,Jalaun,CGWB,2018-01-31,1.79,26.00361111,79.81805556,2
Babuganj,Uttar Pradesh,Sultanpur,CGWB,2018-01-31,3.25,26.36111111,82.12277778,2
Baburi,Uttar Pradesh,Chandauli,CGWB,2018-01-31,5.66,25.16666667,83.19500000,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2018-01-31,10.83,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2018-01-31,2.9,27.49861111,82.78333333,2
Bagadpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-01-31,15.2,28.61333333,78.35888889,2
Baghpur,Uttar Pradesh,Kanpur Dehat,CGWB,2018-01-31,5.76,26.51888889,80.12916667,2
Baghura,Uttar Pradesh,Mirzapur,CGWB,2018-01-31,7.18,24.88333333,82.79166667,2
Bahoranpur,Uttar Pradesh,Sitapur,CGWB,2018-01-31,3.65,27.37194444,81.23194444,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2018-01-31,6.9,25.92500000,83.05000000,2
Bahurawa,Uttar Pradesh,Sultanpur,CGWB,2018-01-31,3.02,26.48333333,81.92361111,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2018-01-31,8.17,25.94305556,82.98750000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2018-01-31,1.71,25.11666667,81.67500000,2
Bairia,Uttar Pradesh,Ballia,CGWB,2018-01-31,5.13,25.78333333,84.45416667,2
Bairpan,Uttar Pradesh,Sonbhadra,CGWB,2018-01-31,7.4,24.20972222,82.87361111,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2018-01-31,1.67,27.53833333,81.43833333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2018-01-31,3.48,26.68472222,82.30833333,2
Bakewar,Uttar Pradesh,Etawah,CGWB,2018-01-31,4.9,26.66666667,79.18333333,2
Baksar,Uttar Pradesh,Unnao,CGWB,2018-01-31,7.27,26.14444444,80.66666667,2
Balesara,Uttar Pradesh,Ballia,CGWB,2018-01-31,2.67,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2018-01-31,6.06,25.75000000,84.16666667,2
Balrampur1,Uttar Pradesh,Balrampur,CGWB,2018-01-31,3.95,27.41333333,82.18833333,2
Bamaur,Uttar Pradesh,Jhansi,CGWB,2018-01-31,8.71,25.70000000,79.17500000,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2018-01-31,4.86,26.83000000,79.59583333,2
