Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aandwa1,Uttar Pradesh,Praygraj,CGWB,2020-08-25,15.68,25.41666667,82.00416667,2
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2020-08-25,13.5,27.08472222,80.72777778,2
Achhalda,Uttar Pradesh,Auraiya,CGWB,2020-08-25,5.02,26.71166667,79.41194444,2
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,3.15,26.17638889,82.90416667,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2020-08-25,1.45,26.49472222,81.34861111,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2020-08-25,1.23,27.33194444,80.30888889,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2020-08-25,2.48,25.45555556,83.73055556,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2020-08-25,4.1,26.43611111,82.54361111,2
Akodha,Uttar Pradesh,Allahabad,CGWB,2020-08-25,2.67,25.22500000,81.86250000,2
Allahabad,Uttar Pradesh,Praygraj,CGWB,2020-08-25,6.44,25.45000000,81.97500000,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2020-08-25,4.45,26.66472222,81.77916667,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2020-08-25,19.03,26.83472222,80.91250000,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2020-08-25,1.7,27.89166667,80.95000000,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2020-08-25,2.01,25.77222222,80.90277778,2
Atarra,Uttar Pradesh,Banda,CGWB,2020-08-25,1.31,25.27694444,80.55666667,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2020-08-25,2.14,25.57083333,81.74166667,2
Auras,Uttar Pradesh,Unnao,CGWB,2020-08-25,3.8,26.90416667,80.50416667,2
Azamgarh,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,5.45,26.04166667,83.16666667,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2020-08-25,8.11,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2020-08-25,1.24,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2020-08-25,3.19,23.95388889,83.07916667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2020-08-25,0.19,25.82500000,84.21388889,2
Babuganj,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,0.54,26.36111111,82.12277778,2
Badausa,Uttar Pradesh,Banda,CGWB,2020-08-25,2.54,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2020-08-25,9.33,25.13500000,80.39333333,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,9.8,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2020-08-25,1.18,27.49861111,82.78333333,2
Baghpur,Uttar Pradesh,Kanpur Dehat,CGWB,2020-08-25,5.58,26.51888889,80.12916667,2
Bahoranpur,Uttar Pradesh,Sitapur,CGWB,2020-08-25,1.96,27.37194444,81.23194444,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,1.9,25.92500000,83.05000000,2
Bahua,Uttar Pradesh,Fatehpur,CGWB,2020-08-25,12.64,25.84166667,80.62500000,2
Bahurawa,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,0.95,26.48333333,81.92361111,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,3.24,25.94305556,82.98750000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2020-08-25,0.04,25.11666667,81.67500000,2
Bairia,Uttar Pradesh,Ballia,CGWB,2020-08-25,1.56,25.78333333,84.45416667,2
Bairpan,Uttar Pradesh,Sonbhadra,CGWB,2020-08-25,1.8,24.20972222,82.87361111,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2020-08-25,0.92,27.53833333,81.43833333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2020-08-25,1.33,26.68472222,82.30833333,2
Balesara,Uttar Pradesh,Ballia,CGWB,2020-08-25,1.3,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2020-08-25,2.58,25.75000000,84.16666667,2
Balrampur1,Uttar Pradesh,Balrampur,CGWB,2020-08-25,3.02,27.41333333,82.18833333,2
Banda,Uttar Pradesh,Banda,CGWB,2020-08-25,9.04,25.48333333,80.32083333,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2020-08-25,4.66,26.83000000,79.59583333,2
Bankatwa,Uttar Pradesh,Balrampur,CGWB,2020-08-25,9.2,27.73694444,82.25277778,2
Bansdih New,Uttar Pradesh,Ballia,CGWB,2020-08-25,0.51,25.88638889,84.20638889,2
Bansi1,Uttar Pradesh,Siddharth Nagar,CGWB,2020-08-25,0.55,27.16666667,82.91666667,2
Bara,Uttar Pradesh,Allahabad,CGWB,2020-08-25,1.45,25.25000000,81.71666667,2
Barabanki pz 1,Uttar Pradesh,Barabanki,CGWB,2020-08-25,5.72,26.92888889,81.17222222,2
Baradari,Uttar Pradesh,Kanpur Nagar,CGWB,2020-08-25,5.63,26.31388889,80.31194444,2
Baraut1,Uttar Pradesh,Praygraj,CGWB,2020-08-25,0.91,25.34027778,82.27500000,2
Baresar,Uttar Pradesh,Ghazipur,CGWB,2020-08-25,5.3,25.39166667,83.56666667,2
Bargaini,Uttar Pradesh,Banda,CGWB,2020-08-25,9.01,25.54166667,80.42500000,2
Barganwar,Uttar Pradesh,Hardoi,CGWB,2020-08-25,3.99,27.48750000,80.15472222,2
Barkhani Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2020-08-25,8.13,27.61583333,79.79583333,2
Barokhar,Uttar Pradesh,Allahabad,CGWB,2020-08-25,8.22,24.89583333,81.94583333,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2020-08-25,29.76,25.95000000,80.43333333,2
Barwarikalaan,Uttar Pradesh,Allahabad,CGWB,2020-08-25,0.88,24.93333333,82.14583333,2
Basti,Uttar Pradesh,Basti,CGWB,2020-08-25,3.1,26.80000000,82.73333333,2
Basundhara,Uttar Pradesh,Auraiya,CGWB,2020-08-25,1.87,26.59500000,79.53333333,2
Bawan Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2020-08-25,2.04,27.39888889,79.99583333,2
Behta,Uttar Pradesh,Sitapur,CGWB,2020-08-25,1.38,27.73888889,81.14888889,2
Bela,Uttar Pradesh,Fatehpur,CGWB,2020-08-25,2.06,25.95833333,81.03611111,2
Bela tal,Uttar Pradesh,Mahoba,CGWB,2020-08-25,4.63,25.27027778,79.57777778,2
Belwana,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,0.65,25.89444444,82.81666667,2
Bewar,Uttar Pradesh,Hamirpur,CGWB,2020-08-25,13.52,25.76111111,79.93000000,2
Bhadar,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,5.73,26.17166667,82.05194444,2
Bhadayian Pz-GWD,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,13.0,26.17750000,82.16083333,2
Bhagwan nagar,Uttar Pradesh,Sonbhadra,CGWB,2020-08-25,4.41,24.37916667,83.05416667,2
Bhagwanpur,Uttar Pradesh,Shrawasti,CGWB,2020-08-25,0.59,27.51666667,81.93194444,2
Bhaisana,Uttar Pradesh,Kanpur Nagar,CGWB,2020-08-25,1.91,26.63500000,80.07472222,2
Bhakraulikapurw,Uttar Pradesh,Bahraich,CGWB,2020-08-25,2.32,27.30416667,81.55972222,2
Bhanpur,Uttar Pradesh,Basti,CGWB,2020-08-25,0.63,27.01805556,82.66805556,2
Bhatgaon,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,4.3,26.30555556,81.65833333,2
Bhatoiya,Uttar Pradesh,Lucknow,CGWB,2020-08-25,10.11,26.94861111,80.63750000,2
Bhaunri,Uttar Pradesh,Chitrakoot,CGWB,2020-08-25,7.66,25.22500000,81.04027778,2
Bhauriganj,Uttar Pradesh,Gonda,CGWB,2020-08-25,1.93,27.01250000,81.73611111,2
Bhawanigarh,Uttar Pradesh,Raibareli,CGWB,2020-08-25,0.38,26.55000000,81.23333333,2
Bhikamjot,Uttar Pradesh,Basti,CGWB,2020-08-25,1.42,26.80416667,82.29583333,2
Bhim pashim,Uttar Pradesh,Sultanpur,CGWB,2020-08-25,0.8,26.16750000,81.90861111,2
Bhiti-New,Uttar Pradesh,Ambedkar Nagar,CGWB,2020-08-25,2.68,26.49166667,82.30833333,2
Bhiwal,Uttar Pradesh,Barabanki,CGWB,2020-08-25,0.68,26.69722222,81.24861111,2
Bhopatpur,Uttar Pradesh,Bahraich,CGWB,2020-08-25,8.07,27.88333333,81.51388889,2
Bhujanga,Uttar Pradesh,Shrawasti,CGWB,2020-08-25,1.32,27.66861111,82.00583333,2
Bibipur Khatauli,Uttar Pradesh,Azamgarh,CGWB,2020-08-25,1.36,26.13611111,83.09722222,2
Bidhnu,Uttar Pradesh,Kanpur Nagar,CGWB,2020-08-25,0.43,26.31944444,80.23888889,2
Bijnor,Uttar Pradesh,Lucknow,CGWB,2020-08-25,11.6,26.73888889,80.74027778,2
Bijua,Uttar Pradesh,Kheri,CGWB,2020-08-25,1.23,28.28805556,80.60500000,2
Bindki1,Uttar Pradesh,Fatehpur,CGWB,2020-08-25,1.73,26.03611111,80.58000000,2
Binjh,Uttar Pradesh,Raibareli,CGWB,2020-08-25,12.31,26.33638889,81.03388889,2
