Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aandwa1,Uttar Pradesh,Praygraj,CGWB,2020-11-30,16.75,25.41666667,82.00416667,2
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2020-11-30,13.62,27.08472222,80.72777778,2
Achhalda,Uttar Pradesh,Auraiya,CGWB,2020-11-30,5.06,26.71166667,79.41194444,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2020-11-30,1.86,27.17722222,77.74555556,2
Adalhat,Uttar Pradesh,Mirzapur,CGWB,2020-11-30,1.8,25.13138889,83.03500000,2
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2020-11-30,6.25,26.17638889,82.90416667,2
Ahraura,Uttar Pradesh,Mirzapur,CGWB,2020-11-30,3.55,25.02083333,83.04027778,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2020-11-30,2.6,26.49472222,81.34861111,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2020-11-30,2.7,27.33194444,80.30888889,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2020-11-30,4.75,26.43611111,82.54361111,2
Akodha,Uttar Pradesh,Allahabad,CGWB,2020-11-30,3.04,25.22500000,81.86250000,2
Allahabad,Uttar Pradesh,Praygraj,CGWB,2020-11-30,6.49,25.45000000,81.97500000,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2020-11-30,5.32,26.66472222,81.77916667,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2020-11-30,15.53,29.00000000,78.60333333,2
Anai,Uttar Pradesh,Varanasi,CGWB,2020-11-30,2.66,25.45833333,82.73611111,2
Andla,Uttar Pradesh,Aligarh,CGWB,2020-11-30,10.13,27.91833333,77.91888889,2
Anpara,Uttar Pradesh,Sonbhadra,CGWB,2020-11-30,16.9,24.20638889,82.77000000,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2020-11-30,20.5,26.83472222,80.91250000,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2020-11-30,3.08,27.89166667,80.95000000,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2020-11-30,3.23,25.77222222,80.90277778,2
Atarra,Uttar Pradesh,Banda,CGWB,2020-11-30,2.91,25.27694444,80.55666667,2
Ateha,Uttar Pradesh,Pratapgarh,CGWB,2020-11-30,4.77,26.09694444,81.63972222,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2020-11-30,3.99,25.57083333,81.74166667,2
Auras,Uttar Pradesh,Unnao,CGWB,2020-11-30,5.5,26.90416667,80.50416667,2
Azamgarh,Uttar Pradesh,Azamgarh,CGWB,2020-11-30,5.95,26.04166667,83.16666667,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2020-11-30,8.03,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2020-11-30,3.46,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2020-11-30,9.52,23.95388889,83.07916667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2020-11-30,0.68,25.82500000,84.21388889,2
Babuganj,Uttar Pradesh,Sultanpur,CGWB,2020-11-30,2.14,26.36111111,82.12277778,2
Badausa,Uttar Pradesh,Banda,CGWB,2020-11-30,4.88,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2020-11-30,9.52,25.13500000,80.39333333,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2020-11-30,9.25,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2020-11-30,2.15,27.49861111,82.78333333,2
Badlapur,Uttar Pradesh,Jaunpur,CGWB,2020-11-30,6.81,25.87916667,82.46388889,2
Bagadpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2020-11-30,18.27,28.61333333,78.35888889,2
Bagh colony,Uttar Pradesh,Saharanpur,CGWB,2020-11-30,4.67,30.34666667,77.60444444,2
Baghura,Uttar Pradesh,Mirzapur,CGWB,2020-11-30,2.85,24.88333333,82.79166667,2
Baheri,Uttar Pradesh,Bareilly,CGWB,2020-11-30,4.5,28.77916667,79.50000000,2
Bahoranpur,Uttar Pradesh,Sitapur,CGWB,2020-11-30,2.81,27.37194444,81.23194444,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2020-11-30,1.9,25.92500000,83.05000000,2
Bahua,Uttar Pradesh,Fatehpur,CGWB,2020-11-30,12.18,25.84166667,80.62500000,2
Bahurawa,Uttar Pradesh,Sultanpur,CGWB,2020-11-30,2.27,26.48333333,81.92361111,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2020-11-30,6.13,25.94305556,82.98750000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2020-11-30,1.05,25.11666667,81.67500000,2
Bairpan,Uttar Pradesh,Sonbhadra,CGWB,2020-11-30,5.1,24.20972222,82.87361111,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2020-11-30,1.52,27.53833333,81.43833333,2
Baitalpur,Uttar Pradesh,Deoria,CGWB,2020-11-30,2.33,26.55000000,83.73333333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2020-11-30,3.2,26.68472222,82.30833333,2
Baldeo,Uttar Pradesh,Mainpuri,CGWB,2020-11-30,5.65,27.41944444,77.82222222,2
Baldeopur,Uttar Pradesh,Pilibhit,CGWB,2020-11-30,4.93,28.36111111,79.90000000,2
Balesara,Uttar Pradesh,Ballia,CGWB,2020-11-30,2.28,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2020-11-30,1.78,25.75000000,84.16666667,2
Balrampur1,Uttar Pradesh,Balrampur,CGWB,2020-11-30,3.35,27.41333333,82.18833333,2
Banda,Uttar Pradesh,Banda,CGWB,2020-11-30,12.67,25.48333333,80.32083333,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2020-11-30,5.83,26.83000000,79.59583333,2
Bankatwa,Uttar Pradesh,Balrampur,CGWB,2020-11-30,9.25,27.73694444,82.25277778,2
Bansdih New,Uttar Pradesh,Ballia,CGWB,2020-11-30,2.33,25.88638889,84.20638889,2
Bansi1,Uttar Pradesh,Siddharth Nagar,CGWB,2020-11-30,1.57,27.16666667,82.91666667,2
Bara,Uttar Pradesh,Allahabad,CGWB,2020-11-30,2.23,25.25000000,81.71666667,2
Barabanki pz 1,Uttar Pradesh,Barabanki,CGWB,2020-11-30,6.07,26.92888889,81.17222222,2
Baradari,Uttar Pradesh,Kanpur Nagar,CGWB,2020-11-30,6.83,26.31388889,80.31194444,2
Baraut1,Uttar Pradesh,Praygraj,CGWB,2020-11-30,1.18,25.34027778,82.27500000,2
Bareilly1,Uttar Pradesh,Bareilly,CGWB,2020-11-30,6.0,28.36666667,79.40000000,2
Baresar,Uttar Pradesh,Ghazipur,CGWB,2020-11-30,6.8,25.39166667,83.56666667,2
Bargad chauraha,Uttar Pradesh,Pilibhit,CGWB,2020-11-30,3.18,28.61666667,79.92500000,2
Bargaini,Uttar Pradesh,Banda,CGWB,2020-11-30,8.87,25.54166667,80.42500000,2
Barganwar,Uttar Pradesh,Hardoi,CGWB,2020-11-30,4.24,27.48750000,80.15472222,2
Barhanchuan,Uttar Pradesh,Mirzapur,CGWB,2020-11-30,1.72,24.92722222,83.04444444,2
Barji Kalan,Uttar Pradesh,Jaunpur,CGWB,2020-11-30,2.47,25.71666667,82.26666667,2
Barkhani Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2020-11-30,8.8,27.61583333,79.79583333,2
Barokhar,Uttar Pradesh,Allahabad,CGWB,2020-11-30,10.36,24.89583333,81.94583333,2
Barsana,Uttar Pradesh,Mathura,CGWB,2020-11-30,10.25,27.65555556,77.37777778,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2020-11-30,31.49,25.95000000,80.43333333,2
Barwaon,Uttar Pradesh,Varanasi,CGWB,2020-11-30,3.9,25.36166667,83.07500000,2
Barwarikalaan,Uttar Pradesh,Allahabad,CGWB,2020-11-30,1.39,24.93333333,82.14583333,2
