Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Allahabad,Uttar Pradesh,Praygraj,CGWB,2022-05-26,10.95,25.45000000,81.97500000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2022-05-26,1.81,25.11666667,81.67500000,2
Bara,Uttar Pradesh,Allahabad,CGWB,2022-05-26,3.53,25.25000000,81.71666667,2
Chilla,Uttar Pradesh,Allahabad,CGWB,2022-05-26,9.92,25.30000000,81.71666667,2
Gadwa Fort,Uttar Pradesh,Allahabad,CGWB,2022-05-26,3.66,25.19583333,81.62777778,2
Gauhania,Uttar Pradesh,Allahabad,CGWB,2022-05-26,4.88,25.31666667,81.83333333,2
Lalpur,Uttar Pradesh,Allahabad,CGWB,2022-05-26,3.98,25.26666667,81.61666667,2
