Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Hasanpur,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,3.08,25.92500000,82.60000000,2
Hasanpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-11-30,15.35,28.73138889,78.28222222,2
Hasewan,Uttar Pradesh,Unnao,CGWB,2018-11-30,1.85,26.76388889,80.57500000,2
Hastinapur 1,Uttar Pradesh,Meerut,CGWB,2018-11-30,10.15,29.12500000,78.00000000,2
Hatinala,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,4.5,24.05000000,83.10000000,2
Holagarh,Uttar Pradesh,Allahabad,CGWB,2018-11-30,4.76,25.64166667,81.77222222,2
Iglas,Uttar Pradesh,Hathras,CGWB,2018-11-30,9.65,27.71666667,77.93333333,2
Imamganj,Uttar Pradesh,Allahabad,CGWB,2018-11-30,5.44,25.40555556,82.29583333,2
Iradat nagar,Uttar Pradesh,Allahabad,CGWB,2018-11-30,17.67,25.32500000,81.81666667,2
Itaunja,Uttar Pradesh,Lucknow,CGWB,2018-11-30,10.59,27.08333333,80.87638889,2
ITAUNJA,Uttar Pradesh,Lucknow,CGWB,2018-11-30,11.62,27.08333333,80.89166667,2
Jagatpur,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.88,26.05583333,81.27500000,2
Jagdishpur1,Uttar Pradesh,Gorakhpur,CGWB,2018-11-30,2.04,26.75694444,83.57638889,2
Jahanabad1,Uttar Pradesh,Pilibhit,CGWB,2018-11-30,3.91,28.63333333,79.70166667,2
Jais,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.49,26.25166667,81.53500000,2
Jaithra Pz-GWD,Uttar Pradesh,Etah,CGWB,2018-11-30,8.64,27.50972222,79.01944444,2
Jalaun,Uttar Pradesh,Jalaun,CGWB,2018-11-30,5.29,26.13333333,79.33333333,2
Janapur,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,3.63,26.36388889,81.58750000,2
Janghai,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,4.61,25.55277778,82.32000000,2
Jarha,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,5.57,24.00777778,82.90333333,2
Jarwa,Uttar Pradesh,Balrampur,CGWB,2018-11-30,8.4,27.65500000,82.52333333,2
Jathwara,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,5.91,25.81388889,81.76527778,2
Jeora kalyanpur,Uttar Pradesh,Pilibhit,CGWB,2018-11-30,4.07,28.31638889,79.81500000,2
Jhansi1,Uttar Pradesh,Jhansi,CGWB,2018-11-30,2.68,25.45416667,78.56666667,2
Jhinga nagla,Uttar Pradesh,Mainpuri,CGWB,2018-11-30,2.63,27.37083333,77.57361111,2
Jikhan(narsara),Uttar Pradesh,Varanasi,CGWB,2018-11-30,6.5,25.19305556,82.84166667,2
Jogipura Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-11-30,12.81,28.89111111,78.24027778,2
Joya Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-11-30,15.25,28.83555556,78.47305556,2
Kachunda,Uttar Pradesh,Raibareli,CGWB,2018-11-30,2.18,26.30833333,81.25833333,2
Kadipur,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,10.1,26.16666667,82.37555556,2
Kagraul,Uttar Pradesh,Agra,CGWB,2018-11-30,17.25,27.02361111,77.85000000,2
Kailaiya,Uttar Pradesh,Jalaun,CGWB,2018-11-30,4.11,25.95277778,79.00555556,2
Kailashpuri,Uttar Pradesh,Kaushambi,CGWB,2018-11-30,22.28,25.28333333,81.40833333,2
Kaili Pz,Uttar Pradesh,Meerut,CGWB,2018-11-30,20.45,28.79027778,77.75972222,2
Kaisarganj PZ (GWD),Uttar Pradesh,Barabanki,CGWB,2018-11-30,7.31,26.73333333,81.31722222,2
Kajhai,Uttar Pradesh,Siddharth Nagar,CGWB,2018-11-30,6.55,27.22833333,82.98333333,2
Kalkeshwar temp,Uttar Pradesh,Barabanki,CGWB,2018-11-30,9.59,26.75000000,81.48333333,2
Kalpi,Uttar Pradesh,Jalaun,CGWB,2018-11-30,25.91,26.13333333,79.75000000,2
Kalwari,Uttar Pradesh,Basti,CGWB,2018-11-30,3.09,26.63333333,82.69166667,2
Kalwari,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,1.83,24.85833333,82.70833333,2
Kamalpur,Uttar Pradesh,Chandauli,CGWB,2018-11-30,2.64,25.37000000,83.37666667,2
Kanasi,Uttar Pradesh,Jalaun,CGWB,2018-11-30,5.23,26.08333333,79.10666667,2
Kandharpur Pz GWD,Uttar Pradesh,Bareilly,CGWB,2018-11-30,2.25,28.30000000,79.41666667,2
Kantha,Uttar Pradesh,Unnao,CGWB,2018-11-30,6.22,26.57361111,80.75277778,2
Kapurpur,Uttar Pradesh,Bahraich,CGWB,2018-11-30,1.83,27.55555556,81.43888889,2
Karnailganj PZ (GWD),Uttar Pradesh,Gonda,CGWB,2018-11-30,2.79,27.13111111,81.70305556,2
Kasarua,Uttar Pradesh,Praygraj,CGWB,2018-11-30,20.1,25.47000000,81.96666667,2
Katarniaghat,Uttar Pradesh,Bahraich,CGWB,2018-11-30,2.26,28.33333333,81.13361111,2
Katehari,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-11-30,5.59,26.50000000,82.48333333,2
Katghar,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.77,26.15138889,81.14166667,2
Katra Saman,Uttar Pradesh,Mainpuri,CGWB,2018-11-30,2.45,27.03055556,79.19305556,2
Kauriram,Uttar Pradesh,Gorakhpur,CGWB,2018-11-30,6.79,26.53333333,83.41666667,2
Keolari-New,Uttar Pradesh,Jalaun,CGWB,2018-11-30,2.17,26.10416667,79.20555556,2
Kesharpur,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-11-30,3.14,26.44166667,82.67361111,2
Khailara,Uttar Pradesh,Jhansi,CGWB,2018-11-30,6.23,25.34555556,78.50000000,2
Khalilabad,Uttar Pradesh,Sant Kabir Nagar,CGWB,2018-11-30,4.4,26.78333333,83.05000000,2
Khaluhat1,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,4.12,26.24027778,82.31111111,2
Khaptia kheri,Uttar Pradesh,Allahabad,CGWB,2018-11-30,3.3,25.07083333,81.77916667,2
Kharauan jat,Uttar Pradesh,Basti,CGWB,2018-11-30,3.78,26.69166667,82.68333333,2
Khawas khera,Uttar Pradesh,Lucknow,CGWB,2018-11-30,1.7,26.68055556,81.17222222,2
Kheron PZ (GWD),Uttar Pradesh,Raibareli,CGWB,2018-11-30,6.76,26.28666667,80.94000000,2
Khillawari,Uttar Pradesh,Jhansi,CGWB,2018-11-30,1.32,25.58333333,79.02500000,2
Khutahna,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,3.52,26.40000000,81.66666667,2
Kishora mauza,Uttar Pradesh,Jalaun,CGWB,2018-11-30,7.24,25.82500000,79.31250000,2
Kitlupur,Uttar Pradesh,Barabanki,CGWB,2018-11-30,2.14,27.10277778,81.19027778,2
Kohdaur,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,6.09,26.04166667,82.02083333,2
Kohraul,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,7.13,24.12944444,82.77500000,2
Koirauna,Uttar Pradesh,Sant Ravidas Nagar,CGWB,2018-11-30,7.05,25.29722222,82.31250000,2
Koluhi,Uttar Pradesh,Maharajganj,CGWB,2018-11-30,1.2,27.30000000,83.33166667,2
Konch(New),Uttar Pradesh,Jalaun,CGWB,2018-11-30,3.53,25.99305556,79.15000000,2
Koraon,Uttar Pradesh,Allahabad,CGWB,2018-11-30,1.32,25.01666667,82.06250000,2
Kotwa sarai,Uttar Pradesh,Barabanki,CGWB,2018-11-30,6.98,26.83333333,81.47500000,2
Kukargaon,Uttar Pradesh,Jalaun,CGWB,2018-11-30,10.96,26.05000000,79.40694444,2
Kukesar,Uttar Pradesh,Maharajganj,CGWB,2018-11-30,2.0,27.45166667,83.57000000,2
Kukra-Sadar Pz,Uttar Pradesh,Muzaffarnagar,CGWB,2018-11-30,13.3,29.47500000,77.72777778,2
Kumbhi ka purwa,Uttar Pradesh,Raibareli,CGWB,2018-11-30,3.02,26.56805556,81.26583333,2
