Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2018-08-31,13.68,27.08472222,80.72777778,2
Achhalda,Uttar Pradesh,Auraiya,CGWB,2018-08-31,3.83,26.71166667,79.41194444,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2018-08-31,6.0,27.17722222,77.74555556,2
Adalhat,Uttar Pradesh,Mirzapur,CGWB,2018-08-31,1.55,25.13138889,83.03500000,2
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2018-08-31,8.35,26.17638889,82.90416667,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2018-08-31,0.96,26.49472222,81.34861111,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2018-08-31,0.11,25.45555556,83.73055556,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2018-08-31,3.05,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-08-31,6.63,26.43611111,82.54361111,2
Akodha,Uttar Pradesh,Allahabad,CGWB,2018-08-31,8.27,25.22500000,81.86250000,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2018-08-31,2.82,26.66472222,81.77916667,2
Amjhara ghati,Uttar Pradesh,Lalitpur,CGWB,2018-08-31,1.45,24.36666667,78.40000000,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-08-31,14.46,29.00000000,78.60333333,2
Anai,Uttar Pradesh,Varanasi,CGWB,2018-08-31,0.88,25.45833333,82.73611111,2
Andla,Uttar Pradesh,Aligarh,CGWB,2018-08-31,10.07,27.91833333,77.91888889,2
Anpara,Uttar Pradesh,Sonbhadra,CGWB,2018-08-31,11.42,24.20638889,82.77000000,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2018-08-31,18.65,26.83472222,80.91250000,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2018-08-31,1.23,27.89166667,80.95000000,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2018-08-31,1.75,25.77222222,80.90277778,2
Ata,Uttar Pradesh,Jalaun,CGWB,2018-08-31,10.65,26.04166667,79.59166667,2
Atarra,Uttar Pradesh,Banda,CGWB,2018-08-31,3.55,25.27694444,80.55666667,2
Ateha,Uttar Pradesh,Pratapgarh,CGWB,2018-08-31,7.25,26.09694444,81.63972222,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2018-08-31,7.15,25.57083333,81.74166667,2
Auras,Uttar Pradesh,Unnao,CGWB,2018-08-31,5.8,26.90416667,80.50416667,2
Azad Nagar-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-08-31,9.35,28.64166667,77.82333333,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2018-08-31,7.72,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2018-08-31,1.84,27.18666667,81.10833333,2
