Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Achhalda,Uttar Pradesh,Auraiya,CGWB,2018-11-20,3.95,26.71166667,79.41194444,2
Baghpur,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,3.76,26.51888889,80.12916667,2
Bakewar,Uttar Pradesh,Etawah,CGWB,2018-11-20,5.06,26.66666667,79.18333333,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2018-11-20,2.81,26.83000000,79.59583333,2
Barecha,Uttar Pradesh,Etawah,CGWB,2018-11-20,36.85,26.61805556,79.03888889,2
Barganwar,Uttar Pradesh,Hardoi,CGWB,2018-11-20,4.44,27.48750000,80.15472222,2
Basundhara,Uttar Pradesh,Auraiya,CGWB,2018-11-20,2.2,26.59500000,79.53333333,2
Bidhnu,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,0.32,26.31944444,80.23888889,2
Bithoor-Nganj,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,10.37,26.59750000,80.27166667,2
Chaubepur1,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,13.2,26.61666667,80.18750000,2
Chibramau Pz-GWD,Uttar Pradesh,Kannauj,CGWB,2018-11-20,18.39,27.13333333,79.50000000,2
Del panderwa,Uttar Pradesh,Hardoi,CGWB,2018-11-20,1.8,27.76111111,80.20138889,2
Dhobia,Uttar Pradesh,Hardoi,CGWB,2018-11-20,6.03,27.63888889,80.28444444,2
Dinamau,Uttar Pradesh,Auraiya,CGWB,2018-11-20,6.68,26.70416667,79.57777778,2
Gangau,Uttar Pradesh,Hardoi,CGWB,2018-11-20,1.16,27.07138889,80.41694444,2
Gopamau,Uttar Pradesh,Hardoi,CGWB,2018-11-20,6.36,27.53194444,80.28611111,2
Haseran Pz-GWD,Uttar Pradesh,Kannauj,CGWB,2018-11-20,0.49,26.91777778,79.58000000,2
Hasulia,Uttar Pradesh,Auraiya,CGWB,2018-11-20,2.68,26.51250000,79.38055556,2
Jalalabad Pz-GWD,Uttar Pradesh,Kannauj,CGWB,2018-11-20,25.5,27.10027778,79.77750000,2
Jaunra,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,6.34,26.48194444,79.68555556,2
Kachauna,Uttar Pradesh,Hardoi,CGWB,2018-11-20,3.98,27.15833333,80.34166667,2
Kainjari,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,4.03,26.60888889,79.88750000,2
Kannauj1,Uttar Pradesh,Kannauj,CGWB,2018-11-20,6.54,27.03750000,79.93333333,2
Kharni Pz-GWD,Uttar Pradesh,Kannauj,CGWB,2018-11-20,2.42,26.97833333,79.49500000,2
Mallawan,Uttar Pradesh,Hardoi,CGWB,2018-11-20,12.2,27.04166667,80.15000000,2
Manjila,Uttar Pradesh,Hardoi,CGWB,2018-11-20,3.03,27.26944444,80.07500000,2
Motipura,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,5.53,26.42500000,80.41666667,2
Muhammadpur,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,18.55,26.29583333,79.91250000,2
Narmau(new),Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,6.64,26.52833333,80.23194444,2
Niwada dhamni,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,5.17,26.70000000,80.12833333,2
Panch deora,Uttar Pradesh,Hardoi,CGWB,2018-11-20,3.5,27.65888889,79.76527778,2
Phaphund,Uttar Pradesh,Auraiya,CGWB,2018-11-20,3.44,26.58333333,79.47083333,2
Pihani,Uttar Pradesh,Hardoi,CGWB,2018-11-20,2.37,27.62500000,80.19444444,2
Pz GWD Ajitmal,Uttar Pradesh,Auraiya,CGWB,2018-11-20,19.16,26.57500000,79.31666667,2
Pz GWD Jaswant Nagar,Uttar Pradesh,Etawah,CGWB,2018-11-20,14.9,26.86666667,78.94166667,2
Ram ashram,Uttar Pradesh,Kannauj,CGWB,2018-11-20,8.37,27.18055556,79.69583333,2
Roura,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,3.63,26.48055556,79.90333333,2
Sachendi,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,1.7,26.42916667,80.16666667,2
Sahabadpur,Uttar Pradesh,Hardoi,CGWB,2018-11-20,2.66,27.37500000,80.34111111,2
Sahar,Uttar Pradesh,Auraiya,CGWB,2018-11-20,1.6,26.75000000,79.60666667,2
Sahayal,Uttar Pradesh,Auraiya,CGWB,2018-11-20,5.43,26.67916667,79.63472222,2
Sarh,Uttar Pradesh,Kanpur Nagar,CGWB,2018-11-20,1.08,26.23611111,80.35000000,2
Shahjahanpur,Uttar Pradesh,Kanpur Dehat,CGWB,2018-11-20,16.75,26.26944444,79.73333333,2
Tirwaganj,Uttar Pradesh,Kannauj,CGWB,2018-11-20,8.78,26.95416667,79.78888889,2
