Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aat Garhi Sonra,Uttar Pradesh,Lucknow,CGWB,2023-01-31,13.4,27.08472222,80.72777778,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2023-01-31,5.47,27.17722222,77.74555556,2
Ahraura,Uttar Pradesh,Mirzapur,CGWB,2023-01-31,4.97,25.02083333,83.04027778,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2023-01-31,3.51,26.49472222,81.34861111,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2023-01-31,2.6,27.33194444,80.30888889,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2023-01-31,1.92,25.45555556,83.73055556,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2023-01-31,2.81,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2023-01-31,5.21,26.43611111,82.54361111,2
Akodha,Uttar Pradesh,Allahabad,CGWB,2023-01-31,6.89,25.22500000,81.86250000,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2023-01-31,5.28,26.66472222,81.77916667,2
Amanpur,Uttar Pradesh,Etah,CGWB,2023-01-31,0.0,27.70972222,78.73750000,2
Amjhara ghati,Uttar Pradesh,Lalitpur,CGWB,2023-01-31,1.63,24.36666667,78.40000000,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2023-01-31,14.94,29.00000000,78.60333333,2
Anai,Uttar Pradesh,Varanasi,CGWB,2023-01-31,1.59,25.45833333,82.73611111,2
Andla,Uttar Pradesh,Aligarh,CGWB,2023-01-31,10.59,27.91833333,77.91888889,2
Anpara,Uttar Pradesh,Sonbhadra,CGWB,2023-01-31,13.54,24.20638889,82.77000000,2
Asafpur,Uttar Pradesh,Budaun,CGWB,2023-01-31,16.12,28.40833333,78.90555556,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2023-01-31,2.25,27.89166667,80.95000000,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2023-01-31,3.92,25.77222222,80.90277778,2
Ata,Uttar Pradesh,Jalaun,CGWB,2023-01-31,4.47,26.04166667,79.59166667,2
Atarra,Uttar Pradesh,Banda,CGWB,2023-01-31,3.5,25.27694444,80.55666667,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2023-01-31,4.37,25.57083333,81.74166667,2
Auldan,Uttar Pradesh,Jhansi,CGWB,2023-01-31,6.09,25.38972222,79.01861111,2
Auras,Uttar Pradesh,Unnao,CGWB,2023-01-31,3.9,26.90416667,80.50416667,2
Azamgarh,Uttar Pradesh,Azamgarh,CGWB,2023-01-31,8.19,26.04166667,83.16666667,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2023-01-31,7.85,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2023-01-31,2.3,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2023-01-31,9.33,23.95388889,83.07916667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2023-01-31,4.25,25.82500000,84.21388889,2
Babina-New,Uttar Pradesh,Jalaun,CGWB,2023-01-31,0.87,26.00361111,79.81805556,2
Baburi,Uttar Pradesh,Chandauli,CGWB,2023-01-31,9.31,25.16666667,83.19500000,2
Badausa,Uttar Pradesh,Banda,CGWB,2023-01-31,4.99,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2023-01-31,9.66,25.13500000,80.39333333,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2023-01-31,10.74,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2023-01-31,2.4,27.49861111,82.78333333,2
Badlapur,Uttar Pradesh,Jaunpur,CGWB,2023-01-31,8.23,25.87916667,82.46388889,2
Bagadpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2023-01-31,19.8,28.61333333,78.35888889,2
Bagh colony,Uttar Pradesh,Saharanpur,CGWB,2023-01-31,5.02,30.34666667,77.60444444,2
Baghura,Uttar Pradesh,Mirzapur,CGWB,2023-01-31,3.93,24.88333333,82.79166667,2
Baheri,Uttar Pradesh,Bareilly,CGWB,2023-01-31,1.07,28.77916667,79.50000000,2
Bahoranpur,Uttar Pradesh,Sitapur,CGWB,2023-01-31,2.42,27.37194444,81.23194444,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2023-01-31,2.85,25.92500000,83.05000000,2
Bahurawa,Uttar Pradesh,Sultanpur,CGWB,2023-01-31,2.04,26.48333333,81.92361111,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2023-01-31,5.27,25.94305556,82.98750000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2023-01-31,1.61,25.11666667,81.67500000,2
Bairpan,Uttar Pradesh,Sonbhadra,CGWB,2023-01-31,5.29,24.20972222,82.87361111,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2023-01-31,1.98,27.53833333,81.43833333,2
Baitalpur,Uttar Pradesh,Deoria,CGWB,2023-01-31,2.09,26.55000000,83.73333333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2023-01-31,2.73,26.68472222,82.30833333,2
Bakewar,Uttar Pradesh,Etawah,CGWB,2023-01-31,3.7,26.66666667,79.18333333,2
Baldeo,Uttar Pradesh,Mainpuri,CGWB,2023-01-31,6.44,27.41944444,77.82222222,2
Baldeopur,Uttar Pradesh,Pilibhit,CGWB,2023-01-31,3.95,28.36111111,79.90000000,2
Balesara,Uttar Pradesh,Ballia,CGWB,2023-01-31,2.85,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2023-01-31,3.85,25.75000000,84.16666667,2
Bamaur,Uttar Pradesh,Jhansi,CGWB,2023-01-31,4.93,25.70000000,79.17500000,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2023-01-31,4.43,26.83000000,79.59583333,2
Bangra Pz,Uttar Pradesh,Jhansi,CGWB,2023-01-31,5.69,25.31666667,79.02500000,2
Bankatwa,Uttar Pradesh,Balrampur,CGWB,2023-01-31,7.8,27.73694444,82.25277778,2
Bansdih New,Uttar Pradesh,Ballia,CGWB,2023-01-31,2.55,25.88638889,84.20638889,2
Bansi,Uttar Pradesh,Lalitpur,CGWB,2023-01-31,2.88,24.86500000,78.48000000,2
Bansi1,Uttar Pradesh,Siddharth Nagar,CGWB,2023-01-31,2.05,27.16666667,82.91666667,2
Bar,Uttar Pradesh,Lalitpur,CGWB,2023-01-31,4.7,24.85833333,78.58333333,2
Bara,Uttar Pradesh,Allahabad,CGWB,2023-01-31,4.82,25.25000000,81.71666667,2
Baradari,Uttar Pradesh,Kanpur Nagar,CGWB,2023-01-31,4.82,26.31388889,80.31194444,2
Baraut1,Uttar Pradesh,Praygraj,CGWB,2023-01-31,1.69,25.34027778,82.27500000,2
Barecha,Uttar Pradesh,Etawah,CGWB,2023-01-31,34.83,26.61805556,79.03888889,2
Bareilly1,Uttar Pradesh,Bareilly,CGWB,2023-01-31,6.47,28.36666667,79.40000000,2
Baresar,Uttar Pradesh,Ghazipur,CGWB,2023-01-31,12.14,25.39166667,83.56666667,2
Bargad chauraha,Uttar Pradesh,Pilibhit,CGWB,2023-01-31,2.56,28.61666667,79.92500000,2
Barganwar,Uttar Pradesh,Hardoi,CGWB,2023-01-31,5.59,27.48750000,80.15472222,2
Barhanchuan,Uttar Pradesh,Mirzapur,CGWB,2023-01-31,3.04,24.92722222,83.04444444,2
Barji Kalan,Uttar Pradesh,Jaunpur,CGWB,2023-01-31,4.68,25.71666667,82.26666667,2
Barkhani Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2023-01-31,9.88,27.61583333,79.79583333,2
Barsana,Uttar Pradesh,Mathura,CGWB,2023-01-31,10.44,27.65555556,77.37777778,2
Barthana,Uttar Pradesh,Etawah,CGWB,2023-01-31,1.38,26.75000000,79.23055556,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2023-01-31,26.82,25.95000000,80.43333333,2
Barwarikalaan,Uttar Pradesh,Allahabad,CGWB,2023-01-31,2.75,24.93333333,82.14583333,2
Basti,Uttar Pradesh,Basti,CGWB,2023-01-31,6.17,26.80000000,82.73333333,2
Basundhara,Uttar Pradesh,Auraiya,CGWB,2023-01-31,0.0,26.59500000,79.53333333,2
Bawan Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2023-01-31,3.57,27.39888889,79.99583333,2
Behta,Uttar Pradesh,Sitapur,CGWB,2023-01-31,2.12,27.73888889,81.14888889,2
Bela,Uttar Pradesh,Fatehpur,CGWB,2023-01-31,3.1,25.95833333,81.03611111,2
Bela tal,Uttar Pradesh,Mahoba,CGWB,2023-01-31,4.38,25.27027778,79.57777778,2
Belwana,Uttar Pradesh,Azamgarh,CGWB,2023-01-31,2.95,25.89444444,82.81666667,2
Betna,Uttar Pradesh,Lalitpur,CGWB,2023-01-31,7.78,24.47500000,78.52500000,2
Bewar,Uttar Pradesh,Hamirpur,CGWB,2023-01-31,11.01,25.76111111,79.93000000,2
BewarPz-GWD,Uttar Pradesh,Mainpuri,CGWB,2023-01-31,8.37,27.22444444,79.28611111,2
Bhadar,Uttar Pradesh,Sultanpur,CGWB,2023-01-31,5.97,26.17166667,82.05194444,2
Bhagwanpur,Uttar Pradesh,Shrawasti,CGWB,2023-01-31,1.57,27.51666667,81.93194444,2
Bhaisana,Uttar Pradesh,Kanpur Nagar,CGWB,2023-01-31,3.76,26.63500000,80.07472222,2
Bhakraulikapurw,Uttar Pradesh,Bahraich,CGWB,2023-01-31,1.76,27.30416667,81.55972222,2
Bhamora,Uttar Pradesh,Pilibhit,CGWB,2023-01-31,2.86,28.71416667,79.88666667,2
Bhanpur,Uttar Pradesh,Basti,CGWB,2023-01-31,2.2,27.01805556,82.66805556,2
Bhaunri,Uttar Pradesh,Chitrakoot,CGWB,2023-01-31,10.13,25.22500000,81.04027778,2
Bhauriganj,Uttar Pradesh,Gonda,CGWB,2023-01-31,3.18,27.01250000,81.73611111,2
Bhawanigarh,Uttar Pradesh,Raibareli,CGWB,2023-01-31,1.97,26.55000000,81.23333333,2
Bhikamjot,Uttar Pradesh,Basti,CGWB,2023-01-31,3.11,26.80416667,82.29583333,2
Bhiti-New,Uttar Pradesh,Ambedkar Nagar,CGWB,2023-01-31,4.63,26.49166667,82.30833333,2
Bhiwal,Uttar Pradesh,Barabanki,CGWB,2023-01-31,5.11,26.69722222,81.24861111,2
