Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Andla,Uttar Pradesh,Aligarh,CGWB,2019-01-24,10.03,27.91833333,77.91888889,2
Harduaganj,Uttar Pradesh,Aligarh,CGWB,2019-01-24,4.14,27.94638889,78.15750000,2
Palachand,Uttar Pradesh,Aligarh,CGWB,2019-01-24,5.54,27.89111111,77.82666667,2
Safedpur,Uttar Pradesh,Aligarh,CGWB,2019-01-24,6.0,27.95000000,78.16666667,2
Sudiyal,Uttar Pradesh,Aligarh,CGWB,2019-01-24,8.09,27.98888889,78.10277778,2
Taquipur(new),Uttar Pradesh,Aligarh,CGWB,2019-01-24,0.79,28.02333333,77.65333333,2
