Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Akodha,Uttar Pradesh,Allahabad,CGWB,2022-05-24,8.2,25.22500000,81.86250000,2
Baraut1,Uttar Pradesh,Praygraj,CGWB,2022-05-24,2.08,25.34027778,82.27500000,2
Barwarikalaan,Uttar Pradesh,Allahabad,CGWB,2022-05-24,3.2,24.93333333,82.14583333,2
Handia,Uttar Pradesh,Praygraj,CGWB,2022-05-24,2.09,25.36527778,82.18611111,2
Holagarh,Uttar Pradesh,Allahabad,CGWB,2022-05-24,4.57,25.64166667,81.77222222,2
Imamganj,Uttar Pradesh,Allahabad,CGWB,2022-05-24,5.86,25.40555556,82.29583333,2
Karchhana,Uttar Pradesh,Praygraj,CGWB,2022-05-24,10.61,25.28333333,81.93833333,2
Khaptia kheri,Uttar Pradesh,Allahabad,CGWB,2022-05-24,4.37,25.07083333,81.77916667,2
Koraon,Uttar Pradesh,Allahabad,CGWB,2022-05-24,5.74,25.01666667,82.06250000,2
Ladiri bazar,Uttar Pradesh,Allahabad,CGWB,2022-05-24,4.47,25.00000000,81.92916667,2
Mallhan,Uttar Pradesh,Praygraj,CGWB,2022-05-24,5.34,25.61111111,82.09722222,2
Meja,Uttar Pradesh,Praygraj,CGWB,2022-05-24,4.24,25.14166667,82.10000000,2
Meja road,Uttar Pradesh,Praygraj,CGWB,2022-05-24,12.39,25.25000000,82.03000000,2
Naini,Uttar Pradesh,Allahabad,CGWB,2022-05-24,13.06,25.35416667,81.87500000,2
Pasna,Uttar Pradesh,Allahabad,CGWB,2022-05-24,7.27,25.04583333,82.10000000,2
Phulpur2,Uttar Pradesh,Praygraj,CGWB,2022-05-24,5.6,25.55277778,82.09166667,2
Rampur tulapur,Uttar Pradesh,Allahabad,CGWB,2022-05-24,5.54,25.03750000,82.20000000,2
Sikandra1,Uttar Pradesh,Praygraj,CGWB,2022-05-24,9.13,25.58333333,81.97361111,2
