Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2022-05-31,4.36,27.17722222,77.74555556,2
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2022-05-31,6.33,26.17638889,82.90416667,2
Ahraura,Uttar Pradesh,Mirzapur,CGWB,2022-05-31,4.77,25.02083333,83.04027778,2
Ahraura bhawani,Uttar Pradesh,Raibareli,CGWB,2022-05-31,5.5,26.49472222,81.34861111,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2022-05-31,3.5,27.33194444,80.30888889,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2022-05-31,3.7,25.45555556,83.73055556,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2022-05-31,3.48,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2022-05-31,6.59,26.43611111,82.54361111,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2022-05-31,6.65,26.66472222,81.77916667,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2022-05-31,15.61,29.00000000,78.60333333,2
Andla,Uttar Pradesh,Aligarh,CGWB,2022-05-31,11.25,27.91833333,77.91888889,2
Asandih,Uttar Pradesh,Sonbhadra,CGWB,2022-05-31,9.59,23.93333333,83.15722222,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2022-05-31,5.2,25.77222222,80.90277778,2
Ata,Uttar Pradesh,Jalaun,CGWB,2022-05-31,14.06,26.04166667,79.59166667,2
Atarra,Uttar Pradesh,Banda,CGWB,2022-05-31,5.95,25.27694444,80.55666667,2
Auras,Uttar Pradesh,Unnao,CGWB,2022-05-31,5.51,26.90416667,80.50416667,2
Azamgarh,Uttar Pradesh,Azamgarh,CGWB,2022-05-31,5.15,26.04166667,83.16666667,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2022-05-31,8.82,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2022-05-31,5.36,27.18666667,81.10833333,2
Babhani,Uttar Pradesh,Sonbhadra,CGWB,2022-05-31,10.47,23.95388889,83.07916667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2022-05-31,5.07,25.82500000,84.21388889,2
Babina-New,Uttar Pradesh,Jalaun,CGWB,2022-05-31,1.04,26.00361111,79.81805556,2
Baburi,Uttar Pradesh,Chandauli,CGWB,2022-05-31,10.57,25.16666667,83.19500000,2
Badausa,Uttar Pradesh,Banda,CGWB,2022-05-31,6.81,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2022-05-31,13.48,25.13500000,80.39333333,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2022-05-31,10.85,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2022-05-31,3.74,27.49861111,82.78333333,2
Badlapur,Uttar Pradesh,Jaunpur,CGWB,2022-05-31,7.34,25.87916667,82.46388889,2
Bagadpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2022-05-31,20.4,28.61333333,78.35888889,2
Baghura,Uttar Pradesh,Mirzapur,CGWB,2022-05-31,4.01,24.88333333,82.79166667,2
Baheri,Uttar Pradesh,Bareilly,CGWB,2022-05-31,1.45,28.77916667,79.50000000,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2022-05-31,3.9,25.92500000,83.05000000,2
Bahurawa,Uttar Pradesh,Sultanpur,CGWB,2022-05-31,4.1,26.48333333,81.92361111,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2022-05-31,6.08,25.94305556,82.98750000,2
Bairia,Uttar Pradesh,Ballia,CGWB,2022-05-31,5.4,25.78333333,84.45416667,2
Bairpan,Uttar Pradesh,Sonbhadra,CGWB,2022-05-31,5.36,24.20972222,82.87361111,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2022-05-31,2.8,27.53833333,81.43833333,2
Baitalpur,Uttar Pradesh,Deoria,CGWB,2022-05-31,2.99,26.55000000,83.73333333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2022-05-31,4.2,26.68472222,82.30833333,2
Bakewar,Uttar Pradesh,Etawah,CGWB,2022-05-31,6.58,26.66666667,79.18333333,2
Baldeo,Uttar Pradesh,Mainpuri,CGWB,2022-05-31,7.95,27.41944444,77.82222222,2
Balesara,Uttar Pradesh,Ballia,CGWB,2022-05-31,4.19,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2022-05-31,3.22,25.75000000,84.16666667,2
Balrampur1,Uttar Pradesh,Balrampur,CGWB,2022-05-31,4.25,27.41333333,82.18833333,2
Bamaur,Uttar Pradesh,Jhansi,CGWB,2022-05-31,6.47,25.70000000,79.17500000,2
Banda,Uttar Pradesh,Banda,CGWB,2022-05-31,11.34,25.48333333,80.32083333,2
Bandhamau,Uttar Pradesh,Auraiya,CGWB,2022-05-31,5.64,26.83000000,79.59583333,2
Bankatwa,Uttar Pradesh,Balrampur,CGWB,2022-05-31,8.33,27.73694444,82.25277778,2
Bansdih New,Uttar Pradesh,Ballia,CGWB,2022-05-31,3.61,25.88638889,84.20638889,2
Bansi,Uttar Pradesh,Lalitpur,CGWB,2022-05-31,3.2,24.86500000,78.48000000,2
Bansi1,Uttar Pradesh,Siddharth Nagar,CGWB,2022-05-31,3.65,27.16666667,82.91666667,2
Bar,Uttar Pradesh,Lalitpur,CGWB,2022-05-31,9.05,24.85833333,78.58333333,2
Barai par,Uttar Pradesh,Jaunpur,CGWB,2022-05-31,6.31,25.77916667,82.45555556,2
Barecha,Uttar Pradesh,Etawah,CGWB,2022-05-31,29.61,26.61805556,79.03888889,2
Bareilly1,Uttar Pradesh,Bareilly,CGWB,2022-05-31,6.35,28.36666667,79.40000000,2
Baresar,Uttar Pradesh,Ghazipur,CGWB,2022-05-31,13.05,25.39166667,83.56666667,2
Bargad chauraha,Uttar Pradesh,Pilibhit,CGWB,2022-05-31,3.58,28.61666667,79.92500000,2
Barganwar,Uttar Pradesh,Hardoi,CGWB,2022-05-31,6.13,27.48750000,80.15472222,2
Barhanchuan,Uttar Pradesh,Mirzapur,CGWB,2022-05-31,3.9,24.92722222,83.04444444,2
Barji Kalan,Uttar Pradesh,Jaunpur,CGWB,2022-05-31,4.21,25.71666667,82.26666667,2
Barkhani Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2022-05-31,9.2,27.61583333,79.79583333,2
Barsana,Uttar Pradesh,Mathura,CGWB,2022-05-31,10.32,27.65555556,77.37777778,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2022-05-31,28.36,25.95000000,80.43333333,2
Basti,Uttar Pradesh,Basti,CGWB,2022-05-31,6.05,26.80000000,82.73333333,2
Basundhara,Uttar Pradesh,Auraiya,CGWB,2022-05-31,4.46,26.59500000,79.53333333,2
Bawan Pz-GWD,Uttar Pradesh,Hardoi,CGWB,2022-05-31,4.13,27.39888889,79.99583333,2
Behta,Uttar Pradesh,Sitapur,CGWB,2022-05-31,3.63,27.73888889,81.14888889,2
Bela,Uttar Pradesh,Fatehpur,CGWB,2022-05-31,3.98,25.95833333,81.03611111,2
Bela tal,Uttar Pradesh,Mahoba,CGWB,2022-05-31,6.26,25.27027778,79.57777778,2
Bewar,Uttar Pradesh,Hamirpur,CGWB,2022-05-31,14.17,25.76111111,79.93000000,2
BewarPz-GWD,Uttar Pradesh,Mainpuri,CGWB,2022-05-31,8.53,27.22444444,79.28611111,2
Bhadar,Uttar Pradesh,Sultanpur,CGWB,2022-05-31,7.13,26.17166667,82.05194444,2
Bhadayian Pz-GWD,Uttar Pradesh,Sultanpur,CGWB,2022-05-31,11.5,26.17750000,82.16083333,2
Bhagwanpur,Uttar Pradesh,Shrawasti,CGWB,2022-05-31,2.79,27.51666667,81.93194444,2
Bhaisana,Uttar Pradesh,Kanpur Nagar,CGWB,2022-05-31,3.74,26.63500000,80.07472222,2
Bhakraulikapurw,Uttar Pradesh,Bahraich,CGWB,2022-05-31,3.6,27.30416667,81.55972222,2
Bhamora,Uttar Pradesh,Pilibhit,CGWB,2022-05-31,3.88,28.71416667,79.88666667,2
Bhanpur,Uttar Pradesh,Basti,CGWB,2022-05-31,4.3,27.01805556,82.66805556,2
Bhaunri,Uttar Pradesh,Chitrakoot,CGWB,2022-05-31,12.05,25.22500000,81.04027778,2
Bhauriganj,Uttar Pradesh,Gonda,CGWB,2022-05-31,3.94,27.01250000,81.73611111,2
Bhawanigarh,Uttar Pradesh,Raibareli,CGWB,2022-05-31,3.8,26.55000000,81.23333333,2
Bhikamjot,Uttar Pradesh,Basti,CGWB,2022-05-31,4.09,26.80416667,82.29583333,2
Bhim pashim,Uttar Pradesh,Sultanpur,CGWB,2022-05-31,5.9,26.16750000,81.90861111,2
Bhiti-New,Uttar Pradesh,Ambedkar Nagar,CGWB,2022-05-31,6.5,26.49166667,82.30833333,2
Bhiwal,Uttar Pradesh,Barabanki,CGWB,2022-05-31,5.49,26.69722222,81.24861111,2
Bhopatpur,Uttar Pradesh,Bahraich,CGWB,2022-05-31,7.87,27.88333333,81.51388889,2
Bhujanga,Uttar Pradesh,Shrawasti,CGWB,2022-05-31,2.69,27.66861111,82.00583333,2
Bhusar,Uttar Pradesh,Pratapgarh,CGWB,2022-05-31,4.45,26.00277778,82.25833333,2
Bhuta,Uttar Pradesh,Bareilly,CGWB,2022-05-31,5.45,28.33611111,79.59583333,2
Bibipur Khatauli,Uttar Pradesh,Azamgarh,CGWB,2022-05-31,3.73,26.13611111,83.09722222,2
