Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Aandwa1,Uttar Pradesh,Praygraj,CGWB,2018-05-31,18.27,25.41666667,82.00416667,2
Achhalda,Uttar Pradesh,Auraiya,CGWB,2018-05-31,5.61,26.71166667,79.41194444,2
Achhanera Pz-GWD,Uttar Pradesh,Agra,CGWB,2018-05-31,15.4,27.17722222,77.74555556,2
Ahrori,Uttar Pradesh,Hardoi,CGWB,2018-05-31,5.35,27.33194444,80.30888889,2
Ajaipur,Uttar Pradesh,Ghazipur,CGWB,2018-05-31,6.95,25.45555556,83.73055556,2
Ajneri Madhopura,Uttar Pradesh,Jhansi,CGWB,2018-05-31,6.0,25.63333333,79.20000000,2
Akbarpur Pz-GWD NEW,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-05-31,6.95,26.43611111,82.54361111,2
Amaniganj,Uttar Pradesh,Ayodhya,CGWB,2018-05-31,7.45,26.66472222,81.77916667,2
Amjhara ghati,Uttar Pradesh,Lalitpur,CGWB,2018-05-31,2.17,24.36666667,78.40000000,2
Amroha Pz CGWB,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-05-31,16.06,29.00000000,78.60333333,2
Andla,Uttar Pradesh,Aligarh,CGWB,2018-05-31,10.12,27.91833333,77.91888889,2
Arya Nagar,Uttar Pradesh,Lucknow,CGWB,2018-05-31,19.34,26.83472222,80.91250000,2
Asogapur,Uttar Pradesh,Kheri,CGWB,2018-05-31,4.87,27.89166667,80.95000000,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2018-05-31,4.51,25.77222222,80.90277778,2
Ata,Uttar Pradesh,Jalaun,CGWB,2018-05-31,12.15,26.04166667,79.59166667,2
Atarra,Uttar Pradesh,Banda,CGWB,2018-05-31,7.28,25.27694444,80.55666667,2
Ateha,Uttar Pradesh,Pratapgarh,CGWB,2018-05-31,8.13,26.09694444,81.63972222,2
Atrampur,Uttar Pradesh,Allahabad,CGWB,2018-05-31,9.22,25.57083333,81.74166667,2
Azad Nagar-Pz,Uttar Pradesh,Ghaziabad,CGWB,2018-05-31,13.7,28.64166667,77.82333333,2
Azmatnagar,Uttar Pradesh,Unnao,CGWB,2018-05-31,9.01,26.73472222,80.46583333,2
Baba ki kuti,Uttar Pradesh,Barabanki,CGWB,2018-05-31,6.04,27.18666667,81.10833333,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2018-05-31,5.84,25.82500000,84.21388889,2
Babina-New,Uttar Pradesh,Jalaun,CGWB,2018-05-31,3.18,26.00361111,79.81805556,2
Babuganj,Uttar Pradesh,Sultanpur,CGWB,2018-05-31,5.6,26.36111111,82.12277778,2
Baburi,Uttar Pradesh,Chandauli,CGWB,2018-05-31,9.96,25.16666667,83.19500000,2
Badausa,Uttar Pradesh,Banda,CGWB,2018-05-31,7.29,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2018-05-31,12.95,25.13500000,80.39333333,2
Badgaon,Uttar Pradesh,Sultanpur,CGWB,2018-05-31,11.7,26.05583333,81.80055556,2
Badhni,Uttar Pradesh,Siddharth Nagar,CGWB,2018-05-31,4.12,27.49861111,82.78333333,2
Bagadpur Pz GWD,Uttar Pradesh,Jyotiba Phule Nagar,CGWB,2018-05-31,16.48,28.61333333,78.35888889,2
Bagh colony,Uttar Pradesh,Saharanpur,CGWB,2018-05-31,5.98,30.34666667,77.60444444,2
Baheri,Uttar Pradesh,Bareilly,CGWB,2018-05-31,1.6,28.77916667,79.50000000,2
Bahoranpur,Uttar Pradesh,Sitapur,CGWB,2018-05-31,4.42,27.37194444,81.23194444,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2018-05-31,5.05,25.92500000,83.05000000,2
Bairadih,Uttar Pradesh,Azamgarh,CGWB,2018-05-31,8.83,25.94305556,82.98750000,2
Bairi,Uttar Pradesh,Allahabad,CGWB,2018-05-31,3.45,25.11666667,81.67500000,2
Baisanpurwa,Uttar Pradesh,Bahraich,CGWB,2018-05-31,2.57,27.53833333,81.43833333,2
Bakarganj,Uttar Pradesh,Ayodhya,CGWB,2018-05-31,5.27,26.68472222,82.30833333,2
Bakewar,Uttar Pradesh,Etawah,CGWB,2018-05-31,6.73,26.66666667,79.18333333,2
Baksar,Uttar Pradesh,Unnao,CGWB,2018-05-31,8.22,26.14444444,80.66666667,2
Baldeo,Uttar Pradesh,Mainpuri,CGWB,2018-05-31,7.28,27.41944444,77.82222222,2
Balesara,Uttar Pradesh,Ballia,CGWB,2018-05-31,5.44,25.86500000,83.98472222,2
