Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Ahraula,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,8.52,26.17638889,82.90416667,2
Asother,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,1.75,25.77222222,80.90277778,2
Atarra,Uttar Pradesh,Banda,CGWB,2018-11-28,4.1,25.27694444,80.55666667,2
Babhnauli,Uttar Pradesh,Ballia,CGWB,2018-11-28,3.95,25.82500000,84.21388889,2
Badausa,Uttar Pradesh,Banda,CGWB,2018-11-28,3.1,25.24166667,80.65000000,2
Badehan,Uttar Pradesh,Banda,CGWB,2018-11-28,6.3,25.13500000,80.39333333,2
Bahrapur,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,2.87,25.92500000,83.05000000,2
Bahua,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,10.2,25.84166667,80.62500000,2
Balesara,Uttar Pradesh,Ballia,CGWB,2018-11-28,1.27,25.86500000,83.98472222,2
Ballia,Uttar Pradesh,Ballia,CGWB,2018-11-28,5.15,25.75000000,84.16666667,2
Banda,Uttar Pradesh,Banda,CGWB,2018-11-28,13.8,25.48333333,80.32083333,2
Bansdih New,Uttar Pradesh,Ballia,CGWB,2018-11-28,4.03,25.88638889,84.20638889,2
Bansi,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,2.66,24.86500000,78.48000000,2
Bar,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,4.09,24.85833333,78.58333333,2
Bargaini,Uttar Pradesh,Banda,CGWB,2018-11-28,9.0,25.54166667,80.42500000,2
Barwa,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,30.58,25.95000000,80.43333333,2
Bela,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,3.1,25.95833333,81.03611111,2
Bela tal,Uttar Pradesh,Mahoba,CGWB,2018-11-28,5.01,25.27027778,79.57777778,2
Belwana,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,5.84,25.89444444,82.81666667,2
Betna,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,3.97,24.47500000,78.52500000,2
Bewar,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,17.64,25.76111111,79.93000000,2
Bhaunri,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,7.22,25.22500000,81.04027778,2
Bibipur Khatauli,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,4.73,26.13611111,83.09722222,2
Bindki1,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,0.4,26.03611111,80.58000000,2
Bisanda,Uttar Pradesh,Banda,CGWB,2018-11-28,2.76,25.39305556,80.62222222,2
Chakrajafar,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,15.21,25.26000000,80.92166667,2
Chandaul,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,27.7,25.90000000,79.66388889,2
Charkhari,Uttar Pradesh,Mahoba,CGWB,2018-11-28,3.3,25.40000000,79.75000000,2
Chilkahar New,Uttar Pradesh,Ballia,CGWB,2018-11-28,1.66,25.81972222,83.97111111,2
Chitbargaon,Uttar Pradesh,Ballia,CGWB,2018-11-28,1.75,25.74444444,84.01027778,2
Chiwalaha,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,17.2,25.20000000,81.40833333,2
Dalan chapra,Uttar Pradesh,Ballia,CGWB,2018-11-28,6.86,25.73333333,84.51666667,2
Deogaon,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,1.02,25.75833333,82.99166667,2
Dhagwan,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,2.84,25.83944444,79.64083333,2
Dhorighat,Uttar Pradesh,Mau,CGWB,2018-11-28,5.43,26.25000000,83.51250000,2
Digwar,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,6.13,24.37000000,78.60666667,2
Fatehpur PZ Gwd,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,13.2,25.95194444,80.79583333,2
Garwar,Uttar Pradesh,Ballia,CGWB,2018-11-28,1.74,25.83333333,84.03333333,2
Gazipur New,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,12.8,25.80222222,80.75416667,2
Ghosi,Uttar Pradesh,Mau,CGWB,2018-11-28,2.29,26.11666667,83.54166667,2
Girwan,Uttar Pradesh,Banda,CGWB,2018-11-28,1.15,25.31472222,80.39166667,2
Haldi,Uttar Pradesh,Ballia,CGWB,2018-11-28,5.5,25.73333333,84.29305556,2
Hisar kalan,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,6.52,25.07083333,78.56416667,2
Jahanabad,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,22.7,26.10277778,80.35000000,2
Jahangrapur,Uttar Pradesh,Ballia,CGWB,2018-11-28,3.4,25.81388889,83.88888889,2
Jaiprakashnagar,Uttar Pradesh,Ballia,CGWB,2018-11-28,6.55,25.75000000,84.60000000,2
Jaitpur NEW,Uttar Pradesh,Mahoba,CGWB,2018-11-28,6.2,25.25416667,79.56500000,2
Jakhlaun,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,3.28,24.54333333,78.32166667,2
Jejawali,Uttar Pradesh,Mau,CGWB,2018-11-28,6.68,26.17638889,83.65694444,2
Jorwara,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,6.75,25.24861111,81.06250000,2
Kanauna,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,2.16,25.86666667,82.90000000,2
Kapsa,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,0.96,25.57277778,80.21916667,2
Karsandia kalan,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,5.19,25.97333333,82.77500000,2
Karwi,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,7.44,25.20833333,80.92500000,2
Kashipura,Uttar Pradesh,Mahoba,CGWB,2018-11-28,12.03,25.35333333,79.30138889,2
Khanna,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,4.0,25.56388889,80.06777778,2
Kharsanda,Uttar Pradesh,Ballia,CGWB,2018-11-28,3.37,25.93555556,84.08333333,2
Khhurand,Uttar Pradesh,Banda,CGWB,2018-11-28,1.15,25.37222222,80.47500000,2
Khitwans,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,5.03,24.58666667,78.56388889,2
Kulpahar1 New,Uttar Pradesh,Mahoba,CGWB,2018-11-28,2.1,25.32583333,79.63500000,2
Kulpahar2,Uttar Pradesh,Mahoba,CGWB,2018-11-28,5.1,25.31666667,79.65000000,2
Kunetha,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,8.53,25.64833333,79.97666667,2
Lalauli,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,12.77,25.80555556,80.54861111,2
Lalitpur,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,1.39,24.67916667,78.40833333,2
Langerpur,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,4.36,26.20555556,83.21805556,2
Madayan,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,4.81,25.78472222,83.07222222,2
Manihar,Uttar Pradesh,Ballia,CGWB,2018-11-28,6.18,25.81250000,84.16805556,2
Manikpur,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,3.65,25.06666667,81.10000000,2
Mau,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,15.8,25.26944444,81.37500000,2
Mukera,Uttar Pradesh,Banda,CGWB,2018-11-28,3.55,25.12694444,80.39777778,2
Musfha,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,4.89,26.15000000,80.42333333,2
Naraini New,Uttar Pradesh,Banda,CGWB,2018-11-28,1.3,25.19444444,80.48166667,2
Narhi,Uttar Pradesh,Ballia,CGWB,2018-11-28,5.67,25.71138889,84.02277778,2
Nasirabad,Uttar Pradesh,Ballia,CGWB,2018-11-28,8.5,25.75277778,84.10555556,2
Pachkura,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,14.52,25.77000000,80.20222222,2
Pahari buzurg New,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,5.15,25.33722222,80.96527778,2
Paharipur NEW,Uttar Pradesh,Mau,CGWB,2018-11-28,6.7,26.12416667,83.75055556,2
Pangara,Uttar Pradesh,Banda,CGWB,2018-11-28,1.16,25.19833333,80.49583333,2
Pur,Uttar Pradesh,Ballia,CGWB,2018-11-28,2.91,25.95138889,84.00833333,2
Rahul nagar,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,2.18,25.89166667,83.20000000,2
Raipura,Uttar Pradesh,Chitrakoot,CGWB,2018-11-28,12.25,25.22833333,81.15000000,2
Rasra,Uttar Pradesh,Ballia,CGWB,2018-11-28,8.12,25.85000000,83.86166667,2
Ratanpura,Uttar Pradesh,Mau,CGWB,2018-11-28,5.52,25.91666667,83.75000000,2
Roli kalyanpur,Uttar Pradesh,Banda,CGWB,2018-11-28,9.85,25.22000000,80.74500000,2
Saraimir,Uttar Pradesh,Azamgarh,CGWB,2018-11-28,3.8,26.01666667,82.93194444,2
Sarain bakewar,Uttar Pradesh,Fatehpur,CGWB,2018-11-28,4.15,26.11944444,80.48333333,2
Talbhet-New,Uttar Pradesh,Lalitpur,CGWB,2018-11-28,2.36,25.03333333,78.43166667,2
Teiya1,Uttar Pradesh,Mahoba,CGWB,2018-11-28,4.0,25.31444444,79.35500000,2
Terha,Uttar Pradesh,Hamirpur,CGWB,2018-11-28,14.19,25.82916667,80.24861111,2
Ubhavan,Uttar Pradesh,Ballia,CGWB,2018-11-28,2.72,26.12333333,83.87166667,2
